"title","isbn","authors","us_price","url"
"Web Services Essentials","0-596-00224-6","Ethan Cerami","$29.95","http://www.oreilly.com/catalog/webservess/"
"2001 P2P Networking Overview","0-596-00185-1","Kelly Truelove, Clay Shirky, Lucas Gonze, Rael Dornfest","$495.00","http://www.oreilly.com/catalog/p2presearch/"
"Managing IMAP","0-596-00012-X","Dianna Mullet, Kevin Mullet","$34.95","http://www.oreilly.com/catalog/mimap/"
"Writing Word Macros","1-56592-725-7","Steven Roman","$34.95","http://www.oreilly.com/catalog/writewordmacro/"
"Learning the bash Shell","1-56592-347-2","Cameron Newham, Bill Rosenblatt","$29.95","http://www.oreilly.com/catalog/bash2/"
"Programming ColdFusion","1-56592-698-6","Rob Brooks-Bilson","$49.95","http://www.oreilly.com/catalog/coldfusion/"
"Outlook 2000 in a Nutshell","1-56592-704-4","Tom Syroid, Bo Leuf","$29.95","http://www.oreilly.com/catalog/out2000ian/"
"Oracle PL/SQL Language Pocket Reference","1-56592-457-6","Bill Pribyl, Steven Feuerstein, Chip Dawes","$9.95","http://www.oreilly.com/catalog/orplpr/"
"Learning Red Hat Linux, 2nd Edition","0-596-00071-5","Bill McCarty","$34.95","http://www.oreilly.com/catalog/redhat2/"
"DHCP for Windows 2000","1-56592-838-5","Neall Alcott","$34.95","http://www.oreilly.com/catalog/dhcpwin2000/"
"Linux Network Administrator's Guide, 2nd Edition","1-56592-400-2","Olaf Kirch, Terry Dawson","$39.95","http://www.oreilly.com/catalog/linag2/"
"Unix for Oracle DBAs Pocket Reference","0-596-00066-9","Donald K. Burleson","$12.95","http://www.oreilly.com/catalog/unixoracledbapr/"
"Python Programming on Win32","1-56592-621-8","Mark Hammond, Andy Robinson","$34.95","http://www.oreilly.com/catalog/pythonwin32/"
"Java Professional Library","0-596-00107-X","David Flanagan, Jim Farley, William Crawford, Kris Magnusson","$99.95","http://www.oreilly.com/catalog/javaprolib/"
"Software","1-56592-226-3","Paul DuBois","$32.95","http://www.oreilly.com/catalog/imake2/"
"POSIX Programmer's Guide","0-937175-73-0","Donald Lewine","$39.95","http://www.oreilly.com/catalog/posix/"
"Palm OS Programming, 2nd Edition","1-56592-856-3","Neil Rhodes, Julie McKeehan","$39.95","http://www.oreilly.com/catalog/palmprog2/"
"Database Programming with JDBC and Java, Second Edition","1-56592-616-1","George Reese","$34.95","http://www.oreilly.com/catalog/jdbc2/"
"ADO: ActiveX Data Objects","1-56592-415-0","Jason T. Roff","$44.95","http://www.oreilly.com/catalog/ado/"
"Web Design in a Nutshell, 2nd Edition","0-596-00196-7","Jennifer Niederst","$29.95","http://www.oreilly.com/catalog/wdnut2/"
"lex &amp; yacc, 2nd Edition","1-56592-000-7","John Levine, Tony Mason, Doug Brown","$29.95","http://www.oreilly.com/catalog/lex/"
"Palm OS Network Programming","0-596-00005-7","Greg Winton","$39.95","http://www.oreilly.com/catalog/palmosnetpro/"
"Java RMI","1-56592-452-5","William Grosso","$39.95","http://www.oreilly.com/catalog/javarmi/"
"Oracle Security","1-56592-450-9","Marlene Theriault, William Heney","$34.95","http://www.oreilly.com/catalog/orasec/"
"Java and XSLT","0-596-00143-6","Eric M. Burke","$39.95","http://www.oreilly.com/catalog/javaxslt/"
"Learning Oracle PL/SQL","0-596-00180-0","Bill Pribyl, Steven Feuerstein","$39.95","http://www.oreilly.com/catalog/learnoracle/"
"IP Routing","0-596-00275-0","Ravi Malhotra","$34.95","http://www.oreilly.com/catalog/iprouting/"
"Power Programming with RPC","0-937175-77-3","John Bloomer","$29.95","http://www.oreilly.com/catalog/rpc/"
"Crossing Platforms: A Macintosh/Windows Phrasebook","1-56592-539-4","Adam Engst, David Pogue","$29.95","http://www.oreilly.com/catalog/platforms/"
"Web Caching","1-56592-536-X","Duane Wessels","$39.95","http://www.oreilly.com/catalog/webcaching/"
"Practical C Programming, 3rd Edition","1-56592-306-5","Steve Oualline","$34.95","http://www.oreilly.com/catalog/pcp3/"
"Programming PHP","1-56592-610-2","Kevin Tatroe, Rasmus Lerdorf","$39.95","http://www.oreilly.com/catalog/progphp/"
"Programming Visual Basic .NET","0-596-00093-6","Dave Grundgeiger","$39.95","http://www.oreilly.com/catalog/progvbdotnet/"
"Learning VBScript","1-56592-247-6","Paul Lomax","$39.95","http://www.oreilly.com/catalog/vbscript/"
"CVS Pocket Reference","0-596-00003-0","Gregor N. Purdy","$9.95","http://www.oreilly.com/catalog/cvspr/"
"JavaServer Pages Pocket Reference","0-596-00231-9","Hans Bergsten","$11.95","http://www.oreilly.com/catalog/javaserverpr/"
"Win32 API Programming with Visual Basic","1-56592-631-5","Steven Roman","$39.95","http://www.oreilly.com/catalog/win32api/"
"Managing IP Networks with Cisco Routers","1-56592-320-0","Scott M. Ballew","$34.95","http://www.oreilly.com/catalog/cisco/"
"Java Enterprise in a Nutshell, 2nd Edition","0-596-00152-5","Jim Farley, William Crawford, David Flanagan","$39.95","http://www.oreilly.com/catalog/jentnut2/"
"C++: The Core Language","1-56592-116-X","Gregory Satir, Doug Brown","$29.95","http://www.oreilly.com/catalog/core/"
"iMovie 2: The Missing Manual","0-596-00104-5","David Pogue","$19.95","http://www.oreilly.com/catalog/imoviemm2/"
"J2ME in a Nutshell","0-596-00253-X","Kim Topley","$29.95","http://www.oreilly.com/catalog/j2meanut/"
"MySQL","0-59600-265-3","Michael "Monty" Widenius, MySQL AB Development Team, David Axmark, Paul DuBois","$39.95","http://www.oreilly.com/catalog/mysqlref/"
"VBScript in a Nutshell","1-56592-720-6","Paul Lomax, Matt Childs, Ron Petrusha","$29.95","http://www.oreilly.com/catalog/vbscriptian/"
"REALbasic: The Definitive Guide, 2nd Edition","0-596-00177-0","Matt Neuburg","$39.95","http://www.oreilly.com/catalog/realbasic2/"
"Malicious Mobile Code","1-56592-682-X","Roger A. Grimes","$39.95","http://www.oreilly.com/catalog/malmobcode/"
"Learning XML","0-596-00046-4","Erik","$34.95","http://www.oreilly.com/catalog/learnxml/"
"Designing Active Server Pages","0-596-00044-8","Scott Mitchell","$29.95","http://www.oreilly.com/catalog/designasp/"
".NET Framework Essentials, 2nd Edition","0-596-00302-1","Thuan L. Thai, Hoang Lam","$29.95","http://www.oreilly.com/catalog/dotnetfrmess2/"
"Programming ASP.NET","0-596-00171-1","Jesse Liberty, Dan Hurwitz","$49.95","http://www.oreilly.com/catalog/progaspdotnet/"
"Java Cookbook","0-596-00170-3","Ian Darwin","$44.95","http://www.oreilly.com/catalog/javacook/"
"Web Security, Privacy &amp; Commerce, 2nd Edition","0-596-00045-6","Simson Garfinkel, Gene Spafford","$44.95","http://www.oreilly.com/catalog/websec2/"
"Perl for System Administration","1-56592-609-9","David N. Blank-Edelman","$34.95","http://www.oreilly.com/catalog/perlsysadm/"
"Using &amp; Managing PPP","1-56592-321-9","Andrew Sun","$34.95","http://www.oreilly.com/catalog/umppp/"
"Building Wireless Community Networks","0-596-00204-1","Rob Flickenger","$24.95","http://www.oreilly.com/catalog/wirelesscommnet/"
"CSS Pocket Reference","0-596-00120-7","Eric","$9.95","http://www.oreilly.com/catalog/csspr/"
"Ruby in a Nutshell","0-59600-214-9","Yukihiro Matsumoto","$24.95","http://www.oreilly.com/catalog/ruby/"
"UNIX in a Nutshell: System V Edition, 3rd Edition","1-56592-427-4","Arnold Robbins","$29.95","http://www.oreilly.com/catalog/unixnut3/"
"Linux Device Drivers, 2nd Edition","0-59600-008-1","Alessandro Rubini, Jonathan Corbet","$39.95","http://www.oreilly.com/catalog/linuxdrive2/"
"Word 2000 in a Nutshell","1-56592-489-4","Walter Glenn","$29.95","http://www.oreilly.com/catalog/word2000ian/"
"Oracle RMAN Pocket Reference","0-596-00233-5","Darl Kuhn, Scott Schulze","$12.95","http://www.oreilly.com/catalog/rman/"
